Nummer;Score;Bewertungen;Land;Vorwahl;Suchanfragen;Anruftyp;Anrufname;Vorwahlname;Deeplink;CallerTypeId
015755756412980;8;46;49;1575;5322;Kostenfalle;Fa. Velkana;E-Plus;https://www.tellows.de/num/015755756412980;8;
+4915756412980;8;46;49;1575;5322;Kostenfalle;Fa. Velkana;E-Plus;https://www.tellows.de/num/015755756412980;8;
072172118122001;8;37;49;721;30565;Vermarkter Hotline;1&1 Service;Karlsruhe;https://www.tellows.de/num/072172118122001;9;
+4972118122001;8;37;49;721;30565;Vermarkter Hotline;1&1 Service;Karlsruhe;https://www.tellows.de/num/072172118122001;9;
021611619039930;9;43;49;2161;4622;Telefonterror;Callcenter Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039930;7;
+4921619039930;9;43;49;2161;4622;Telefonterror;Callcenter Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039930;7;
+4368120910617;8;167;43;68;27248;Aggressive Werbung;Crypto Capital;Mobilfunknummer;https://www.tellows.de/num/%2B4368120910617;5;
022822833814935;7;11;49;228;7732;Seriöse Nummer;Ionos;Bonn;https://www.tellows.de/num/022822833814935;2;
+4922833814935;7;11;49;228;7732;Seriöse Nummer;Ionos;Bonn;https://www.tellows.de/num/022822833814935;2;
021661666341950;8;84;49;2166;14548;Aggressive Werbung;irgendeine Gesundheitsfürsorge;Mönchengladbach-Rheydt;https://www.tellows.de/num/021661666341950;5;
+4921666341950;8;84;49;2166;14548;Aggressive Werbung;irgendeine Gesundheitsfürsorge;Mönchengladbach-Rheydt;https://www.tellows.de/num/021661666341950;5;
01621627789760;8;53;49;162;8388;Telefonterror;Vodafone (???);Vodafone;https://www.tellows.de/num/01621627789760;7;
+491627789760;8;53;49;162;8388;Telefonterror;Vodafone (???);Vodafone;https://www.tellows.de/num/01621627789760;7;
040940855997152;8;48;49;40;3436;Telefonterror;Aus Hamburg;Hamburg;https://www.tellows.de/num/040940855997152;7;
+4940855997152;8;48;49;40;3436;Telefonterror;Aus Hamburg;Hamburg;https://www.tellows.de/num/040940855997152;7;
017617679784878;8;55;49;176;10788;Aggressive Werbung;Pflegemittelbox;O2 (Germany);https://www.tellows.de/num/017617679784878;5;
+4917679784878;8;55;49;176;10788;Aggressive Werbung;Pflegemittelbox;O2 (Germany);https://www.tellows.de/num/017617679784878;5;
015255259615925;7;37;49;1525;6191;Aggressive Werbung;Business Toner;Vodafone D2 GmbH;https://www.tellows.de/num/015255259615925;5;
+4915259615925;7;37;49;1525;6191;Aggressive Werbung;Business Toner;Vodafone D2 GmbH;https://www.tellows.de/num/015255259615925;5;
015175172236292;8;95;49;1517;44854;Aggressive Werbung;Telekom;Telekom Deutschland;https://www.tellows.de/num/015175172236292;5;
+4915172236292;8;95;49;1517;44854;Aggressive Werbung;Telekom;Telekom Deutschland;https://www.tellows.de/num/015175172236292;5;
021611619039899;8;13;49;2161;5150;Telefonterror;Gewinnspiel Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039899;7;
+4921619039899;8;13;49;2161;5150;Telefonterror;Gewinnspiel Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039899;7;
023313319754910;8;46;49;2331;16297;Vermarkter Hotline;Gesunheitsfürsorge;Hagen Westf;https://www.tellows.de/num/023313319754910;9;
+4923319754910;8;46;49;2331;16297;Vermarkter Hotline;Gesunheitsfürsorge;Hagen Westf;https://www.tellows.de/num/023313319754910;9;
021611619039932;8;17;49;2161;4454;Telefonterror;Callcenter Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039932;7;
+4921619039932;8;17;49;2161;4454;Telefonterror;Callcenter Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039932;7;
032222222114079;8;55;49;3222;11402;Kostenfalle;VP Kundenservice;Voice-over-IP Nummernkreis;https://www.tellows.de/num/032222222114079;8;
+4932222114079;8;55;49;3222;11402;Kostenfalle;VP Kundenservice;Voice-over-IP Nummernkreis;https://www.tellows.de/num/032222222114079;8;
04094029996653;8;47;49;40;10724;Telefonterror;Energieanruf;Hamburg;https://www.tellows.de/num/04094029996653;7;
+494029996653;8;47;49;40;10724;Telefonterror;Energieanruf;Hamburg;https://www.tellows.de/num/04094029996653;7;
072172118122008;7;7;49;721;6372;Aggressive Werbung;1und1;Karlsruhe;https://www.tellows.de/num/072172118122008;5;
+4972118122008;7;7;49;721;6372;Aggressive Werbung;1und1;Karlsruhe;https://www.tellows.de/num/072172118122008;5;
030930330750635;8;57;49;30;6898;Aggressive Werbung;Firma Local Media ...;Berlin;https://www.tellows.de/num/030930330750635;5;
+4930330750635;8;57;49;30;6898;Aggressive Werbung;Firma Local Media ...;Berlin;https://www.tellows.de/num/030930330750635;5;
030930330750298;8;24;49;30;3777;Gewinnspiel;Firma EMS;Berlin;https://www.tellows.de/num/030930330750298;3;
+4930330750298;8;24;49;30;3777;Gewinnspiel;Firma EMS;Berlin;https://www.tellows.de/num/030930330750298;3;
015205205721786;8;54;49;1520;8503;Gewinnspiel;BZ München;Vodafone;https://www.tellows.de/num/015205205721786;3;
+4915205721786;8;54;49;1520;8503;Gewinnspiel;BZ München;Vodafone;https://www.tellows.de/num/015205205721786;3;
015205203691370;8;53;49;1520;8865;Telefonterror;Klassenlotterie;Vodafone;https://www.tellows.de/num/015205203691370;7;
+4915203691370;8;53;49;1520;8865;Telefonterror;Klassenlotterie;Vodafone;https://www.tellows.de/num/015205203691370;7;
015205207957260;8;44;49;1520;7486;Gewinnspiel;Vodafone Gewinnspiel;Vodafone;https://www.tellows.de/num/015205207957260;3;
+4915207957260;8;44;49;1520;7486;Gewinnspiel;Vodafone Gewinnspiel;Vodafone;https://www.tellows.de/num/015205207957260;3;
016016092250852;8;53;49;160;8905;Telefonterror;unbekannt.;T-Mobile;https://www.tellows.de/num/016016092250852;7;
+4916092250852;8;53;49;160;8905;Telefonterror;unbekannt.;T-Mobile;https://www.tellows.de/num/016016092250852;7;
040940238369700;8;25;49;40;3697;Aggressive Werbung;strom Anbieter;Hamburg;https://www.tellows.de/num/040940238369700;5;
+4940238369700;8;25;49;40;3697;Aggressive Werbung;strom Anbieter;Hamburg;https://www.tellows.de/num/040940238369700;5;
017617686019278;8;33;49;176;3646;Kostenfalle;Sebastian vose;O2 (Germany);https://www.tellows.de/num/017617686019278;8;
+4917686019278;8;33;49;176;3646;Kostenfalle;Sebastian vose;O2 (Germany);https://www.tellows.de/num/017617686019278;8;
021611619039937;8;17;49;2161;4199;Meinungsforschung;Callcenter Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039937;6;
+4921619039937;8;17;49;2161;4199;Meinungsforschung;Callcenter Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039937;6;
01721729180135;8;54;49;172;8996;Gewinnspiel;Krypto Fake;Vodafone;https://www.tellows.de/num/01721729180135;3;
+491729180135;8;54;49;172;8996;Gewinnspiel;Krypto Fake;Vodafone;https://www.tellows.de/num/01721729180135;3;
01721729353132;8;64;49;172;9288;Kostenfalle;Blindenwerkstatt;Vodafone;https://www.tellows.de/num/01721729353132;8;
+491729353132;8;64;49;172;9288;Kostenfalle;Blindenwerkstatt;Vodafone;https://www.tellows.de/num/01721729353132;8;
015515510803961;8;23;49;155;5069;Telefonterror;legt auf. ping?;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510803961;7;
+4915510803961;8;23;49;155;5069;Telefonterror;legt auf. ping?;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510803961;7;
040940855982690;7;20;49;40;4034;Gewinnspiel;Betrüger / Gewinnspiel;Hamburg;https://www.tellows.de/num/040940855982690;3;
+4940855982690;7;20;49;40;4034;Gewinnspiel;Betrüger / Gewinnspiel;Hamburg;https://www.tellows.de/num/040940855982690;3;
004915153259291;8;66;49;1515;23365;Telefonterror;Spam Anruf;T-Mobile;https://www.tellows.de/num/004915153259291;7;
015153259291;8;66;49;1515;23365;Telefonterror;Spam Anruf;T-Mobile;https://www.tellows.de/num/004915153259291;7;
022322327014063;8;24;49;2232;3871;Telefonterror;Brühl;Brühl Rheinl;https://www.tellows.de/num/022322327014063;7;
+4922327014063;8;24;49;2232;3871;Telefonterror;Brühl;Brühl Rheinl;https://www.tellows.de/num/022322327014063;7;
021121195586812;8;74;49;211;7001;Telefonterror;Lottoabo;Düsseldorf;https://www.tellows.de/num/021121195586812;7;
+4921195586812;8;74;49;211;7001;Telefonterror;Lottoabo;Düsseldorf;https://www.tellows.de/num/021121195586812;7;
015515510669844;8;26;49;155;3774;Kostenfalle;Kostenfalle Abzocke;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510669844;8;
+4915510669844;8;26;49;155;3774;Kostenfalle;Kostenfalle Abzocke;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510669844;8;
021611619039935;8;23;49;2161;3685;Aggressive Werbung;Callcenter Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039935;5;
+4921619039935;8;23;49;2161;3685;Aggressive Werbung;Callcenter Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039935;5;
015155154613163;8;48;49;1515;23610;Aggressive Werbung;Telekom Treuepunkteservice;T-Mobile;https://www.tellows.de/num/015155154613163;5;
+4915154613163;8;48;49;1515;23610;Aggressive Werbung;Telekom Treuepunkteservice;T-Mobile;https://www.tellows.de/num/015155154613163;5;
01621629100587;8;65;49;162;13793;Telefonterror;Automatisierte Drückerbande;Vodafone;https://www.tellows.de/num/01621629100587;7;
+491629100587;8;65;49;162;13793;Telefonterror;Automatisierte Drückerbande;Vodafone;https://www.tellows.de/num/01621629100587;7;
017617672611820;8;63;49;176;10759;Gewinnspiel;Lotto Gewinnspiel;O2 (Germany);https://www.tellows.de/num/017617672611820;3;
+4917672611820;8;63;49;176;10759;Gewinnspiel;Lotto Gewinnspiel;O2 (Germany);https://www.tellows.de/num/017617672611820;3;
00492317257820;8;1656;49;231;809770;Telefonterror;Forsa;Dortmund;https://www.tellows.de/num/00492317257820;7;
02317257820;8;1656;49;231;809770;Telefonterror;Forsa;Dortmund;https://www.tellows.de/num/00492317257820;7;
004920185156014;8;592;49;201;87771;Meinungsforschung;Xact the Voice Company GmbH;Essen;https://www.tellows.de/num/004920185156014;6;
020185156014;8;592;49;201;87771;Meinungsforschung;Xact the Voice Company GmbH;Essen;https://www.tellows.de/num/004920185156014;6;
03093033075142;8;34;49;30;11718;Ping Anruf;unseriös;Berlin;https://www.tellows.de/num/03093033075142;10;
+493033075142;8;34;49;30;11718;Ping Anruf;unseriös;Berlin;https://www.tellows.de/num/03093033075142;10;
015515510804107;8;26;49;155;4358;Kostenfalle;Hr Müller / Cashback;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510804107;8;
+4915510804107;8;26;49;155;4358;Kostenfalle;Hr Müller / Cashback;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510804107;8;
040940655801422;8;113;49;40;21586;Telefonterror;Strom Vermarktung;Hamburg;https://www.tellows.de/num/040940655801422;7;
+4940655801422;8;113;49;40;21586;Telefonterror;Strom Vermarktung;Hamburg;https://www.tellows.de/num/040940655801422;7;
01621629675936;8;54;49;162;9239;Telefonterror;Irgendwas mit Gewinnt;Vodafone;https://www.tellows.de/num/01621629675936;7;
+491629675936;8;54;49;162;9239;Telefonterror;Irgendwas mit Gewinnt;Vodafone;https://www.tellows.de/num/01621629675936;7;
+31619247144;8;53;31;61;6376;Telefonterror;Spam Anrufe Ausland;Mobiele nummers;https://www.tellows.de/num/%2B31619247144;7;
015225222793612;8;54;49;1522;11805;Telefonterror;Photovoltaik,Gewinnspiel  (?);Vodafone;https://www.tellows.de/num/015225222793612;7;
+4915222793612;8;54;49;1522;11805;Telefonterror;Photovoltaik,Gewinnspiel  (?);Vodafone;https://www.tellows.de/num/015225222793612;7;
040940285591041;8;130;49;40;21758;Telefonterror;Strom Verkäufer;Hamburg;https://www.tellows.de/num/040940285591041;7;
+4940285591041;8;130;49;40;21758;Telefonterror;Strom Verkäufer;Hamburg;https://www.tellows.de/num/040940285591041;7;
015515510824184;9;27;49;155;4299;Kostenfalle;Herr Schwarz;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510824184;8;
+4915510824184;9;27;49;155;4299;Kostenfalle;Herr Schwarz;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510824184;8;
08008005887797;8;20;49;800;6496;Telefonterror;Im Auftrag von Vodafone;Kostenlose Rufnummer;https://www.tellows.de/num/08008005887797;7;
+498005887797;8;20;49;800;6496;Telefonterror;Im Auftrag von Vodafone;Kostenlose Rufnummer;https://www.tellows.de/num/08008005887797;7;
015515510672290;9;21;49;155;3463;Kostenfalle;VP Vertragsverwaltung;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510672290;8;
+4915510672290;9;21;49;155;3463;Kostenfalle;VP Vertragsverwaltung;E-Plus 3G Luxb.;https://www.tellows.de/num/015515510672290;8;
017617636254582;8;160;49;176;39555;Aggressive Werbung;Photovoltaik Portal;O2 (Germany);https://www.tellows.de/num/017617636254582;5;
+4917636254582;8;160;49;176;39555;Aggressive Werbung;Photovoltaik Portal;O2 (Germany);https://www.tellows.de/num/017617636254582;5;
054154120089006;7;25;49;541;19852;Aggressive Werbung;Telekommunikation;Osnabrück;https://www.tellows.de/num/054154120089006;5;
+4954120089006;7;25;49;541;19852;Aggressive Werbung;Telekommunikation;Osnabrück;https://www.tellows.de/num/054154120089006;5;
030930330750299;8;26;49;30;3172;Gewinnspiel;ems;Berlin;https://www.tellows.de/num/030930330750299;3;
+4930330750299;8;26;49;30;3172;Gewinnspiel;ems;Berlin;https://www.tellows.de/num/030930330750299;3;
015255256253169;8;60;49;1525;10573;Gewinnspiel;Matthias Schubert;Vodafone D2 GmbH;https://www.tellows.de/num/015255256253169;3;
+4915256253169;8;60;49;1525;10573;Gewinnspiel;Matthias Schubert;Vodafone D2 GmbH;https://www.tellows.de/num/015255256253169;3;
021611612777996;8;116;49;2161;54887;Aggressive Werbung;Angeblich Telekom;Mönchengladbach;https://www.tellows.de/num/021611612777996;5;
+4921612777996;8;116;49;2161;54887;Aggressive Werbung;Angeblich Telekom;Mönchengladbach;https://www.tellows.de/num/021611612777996;5;
017617688840120;8;21;49;176;14074;Ping Anruf;o2;O2 (Germany);https://www.tellows.de/num/017617688840120;10;
+4917688840120;8;21;49;176;14074;Ping Anruf;o2;O2 (Germany);https://www.tellows.de/num/017617688840120;10;
034134125040673;7;60;49;341;24607;Aggressive Werbung;IONOS;Leipzig;https://www.tellows.de/num/034134125040673;5;
+4934125040673;7;60;49;341;24607;Aggressive Werbung;IONOS;Leipzig;https://www.tellows.de/num/034134125040673;5;
021611619039940;9;33;49;2161;2752;Telefonterror;Callcenter Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039940;7;
+4921619039940;9;33;49;2161;2752;Telefonterror;Callcenter Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039940;7;
+48699554488;8;8;48;69;3961;Kostenfalle;Jobberatung // Indeed;numery telefonów komórkowych ;https://www.tellows.de/num/%2B48699554488;8;
021331332463445;7;5;49;2133;3343;Inkassounternehmen;COEO;Dormagen;https://www.tellows.de/num/021331332463445;4;
+4921332463445;7;5;49;2133;3343;Inkassounternehmen;COEO;Dormagen;https://www.tellows.de/num/021331332463445;4;
021611619039951;8;12;49;2161;6350;Ping Anruf;Callcenter Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039951;10;
+4921619039951;8;12;49;2161;6350;Ping Anruf;Callcenter Anruf;Mönchengladbach;https://www.tellows.de/num/021611619039951;10;
01741747445695;8;13;49;174;3932;Vermarkter Hotline;Klarmobil;Vodafone;https://www.tellows.de/num/01741747445695;9;
+491747445695;8;13;49;174;3932;Vermarkter Hotline;Klarmobil;Vodafone;https://www.tellows.de/num/01741747445695;9;
015175170536072;8;42;49;1517;24491;Aggressive Werbung;Bestandskundenservice Telekom?;Telekom Deutschland;https://www.tellows.de/num/015175170536072;5;
+4915170536072;8;42;49;1517;24491;Aggressive Werbung;Bestandskundenservice Telekom?;Telekom Deutschland;https://www.tellows.de/num/015175170536072;5;
